task_id,footnote_index,page_number,markdown_line,text,raw,imported_at
00113ac5-d12a-402a-b709-a2db02eea12c,65,,,按单项计提坏账准备：单项计提预期信用损失的应收账款,"{""line"": null, ""text"": ""按单项计提坏账准备：单项计提预期信用损失的应收账款"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 153, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,66,,,按预期信用损失一般模型计提坏账准备,"{""line"": null, ""text"": ""按预期信用损失一般模型计提坏账准备"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 157, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,67,,,各阶段划分依据和坏账准备计提比例,"{""line"": null, ""text"": ""各阶段划分依据和坏账准备计提比例"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 157, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,68,,,其中本期坏账准备收回或转回金额重要的：,"{""line"": null, ""text"": ""其中本期坏账准备收回或转回金额重要的："", ""source"": ""content_list_footnote"", ""pdf_page_number"": 157, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,69,,,其他说明：,"{""line"": null, ""text"": ""其他说明："", ""source"": ""content_list_footnote"", ""pdf_page_number"": 157, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,70,,,按单项计提坏账准备：单项计提预期信用损失的其他应收款,"{""line"": null, ""text"": ""按单项计提坏账准备：单项计提预期信用损失的其他应收款"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 161, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,71,,,按组合计提坏账准备：账龄分析组合,"{""line"": null, ""text"": ""按组合计提坏账准备：账龄分析组合"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 161, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,72,,,确定该组合依据的说明：,"{""line"": null, ""text"": ""确定该组合依据的说明："", ""source"": ""content_list_footnote"", ""pdf_page_number"": 162, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,73,,,确定该组合依据的说明：,"{""line"": null, ""text"": ""确定该组合依据的说明："", ""source"": ""content_list_footnote"", ""pdf_page_number"": 162, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,74,,,主要为应收的保证金、押金款项。,"{""line"": null, ""text"": ""主要为应收的保证金、押金款项。"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 162, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,75,,,确定该组合依据的说明：,"{""line"": null, ""text"": ""确定该组合依据的说明："", ""source"": ""content_list_footnote"", ""pdf_page_number"": 162, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,76,,,主要为应收的出口退税款。,"{""line"": null, ""text"": ""主要为应收的出口退税款。"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 162, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,77,,,按预期信用损失一般模型计提坏账准备：,"{""line"": null, ""text"": ""按预期信用损失一般模型计提坏账准备："", ""source"": ""content_list_footnote"", ""pdf_page_number"": 162, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,78,,,各阶段划分依据和坏账准备计提比例,"{""line"": null, ""text"": ""各阶段划分依据和坏账准备计提比例"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 163, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,79,,,账龄超过 1年且金额重要的预付款项未及时结算原因的说明：,"{""line"": null, ""text"": ""账龄超过 1年且金额重要的预付款项未及时结算原因的说明："", ""source"": ""content_list_footnote"", ""pdf_page_number"": 164, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,80,,,其他说明：,"{""line"": null, ""text"": ""其他说明："", ""source"": ""content_list_footnote"", ""pdf_page_number"": 164, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,81,,,其他说明：,"{""line"": null, ""text"": ""其他说明："", ""source"": ""content_list_footnote"", ""pdf_page_number"": 167, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
